action_id,name,tag,req,cash_cost,delta_HP,delta_MP,delta_COND,delta_RL,delta_RP,delta_T,growth_add,growth_mult,success_model,note
(GLOBAL),成功率クランプ,,,,,,,,,,,,"p = clamp(p_base + p_skill*skill_lv + p_cond*COND_stage, 0.05, 0.90)",actions_master冒頭のp_min/p_max。詳細は actions_spec参照。
ACT_CARE,ケア（標準）,CARE,none,,+4,+1,+8,+1,+0,+0,0.05,0.95,,HP主軸の回復。CONDは固定値で戻すが、過剰に上がりすぎないよう抑えめ。
ACT_CARE_HP,ケア（HP寄り）,CARE,wife.CARE>=2,,+7,+0,+3,+0,+0,+0,0,0.9,,HPを大きく戻す（成長はほぼ止まる）。
ACT_CARE_COND,ケア（COND寄り）,CARE,wife.CARE>=2,,+1,+0,+14,+0,+0,+0,0,0.95,,CONDを固定値で戻す（COND依存で減衰しない前提）。
ACT_CARE_MP,ケア（メンタル寄り）,CARE,wife.CARE>=4,,+0,+5,+6,+1,+0,-1,0,0.95,,MPを戻すが、MP過剰で天狗側に寄り得る（Tも微減）
ACT_CARE_REHAB,リハビリ集中,CARE,wife.CARE>=6,,+4,-2,+18,+0,+0,-1,0,0.9,,CONDを大きく戻す代わりにMPを落とす（過剰維持を抑える）
ACT_SUPPORT,練習支援/帯同（標準）,SUPPORT,none,,-5,-3,-1,+0,+0,+0,0.3,1,,“総負荷”は従来のCOND偏重と同程度を維持しつつ、HP/MPへ寄せる。
ACT_SUPPORT_LIGHT,練習支援（軽）,SUPPORT,wife.COACH>=2,,-4,-2,+0,+0,+0,+0,0.45,1,,序盤の回し用。HP負荷はあるが、CONDは基本維持。
ACT_SUPPORT_INTENSE,練習支援（重）,SUPPORT,wife.COACH>=4,,-7,-4,-1,-1,+0,+0,0.8,1,,成長は大きいがHPが最も削れる。RLにも軽いしわ寄せ。
ACT_SUPPORT_PRIVATE,プライベートコーチ帯同,SUPPORT,wife.COACH>=6,,-6,-4,-1,-1,+0,+0,1.5,1.05,,伸びは最大級。HP負荷は重い（費用は設備/イベント側で表現してもよい）。
ACT_REST,休養,REST,none,,+1,+7,+3,+0,+0,-1,0,0.9,,MP回復が主。CONDは小さめに戻す。
ACT_DISCIPLINE,躾/引き締め（標準）,DISCIPLINE,none,,,,,,,,0.2,1,"{""p_base"": ""0.70"", ""penalty_per_tengu_level"": ""0.05"", ""penalty_per_uwaki_level"": ""0.05"", ""equip_bonus_field"": ""discipline_success_bonus""}",
